distro,package,version,swhid
debian,libubsan0,6.3.0-18+deb9u1,swh:1:dir:b10b6bb8450fef0f8f623c9086fc12494b8b9f42
ubuntu,diffutils,1:3.6-1,swh:1:dir:fb2a37641056ef1ac2e31e4ffd85404857c6e213
debian,x11proto-render-dev,2:0.11.1-2,swh:1:dir:8a9d816eef2f10265975c3b2cb9777dbe3945c7b
debian,libiptc0,1.6.0+snapshot20161117-6,swh:1:dir:f99a366f5c19a4a7cdc6d55c9c3fc44577ba3fe9
debian,python-html5lib,0.999999999-1,swh:1:dir:9652e8ad4ddfe52f519ef7b44bc4cec927c62d84
ubuntu,networkd-dispatcher,1.7-0ubuntu3.3,swh:1:dir:2d4bd95a15e7d92b0c2804eeb55a38ddb7a1847f
debian,ssl-cert,1.0.39,swh:1:dir:097bba82345acd03f803e31273b11da969bfdc0a
debian,python-dbus,1.2.4-1+b1,swh:1:dir:9cd0660755353de051d3b7330ab38850d0b84ba5
debian,libmount1,2.29.2-1+deb9u1,swh:1:dir:726b78b92e3809d74cd1437dd51e373607bdd8ad
debian,libmono-corlib4.5-cil,4.6.2.7+dfsg-1,swh:1:dir:0337be756fcbe9327bf59c5cd32b97830e537183
debian,libdebconfclient0,0.227,swh:1:dir:96d40d884fcc7f40358f473fb36bedf8ab5336fa
debian,x11proto-dri3-dev,1.0-1,swh:1:dir:ef7ee7ae00283838266cc3319aeeebba1abb010e
ubuntu,libubsan0,7.5.0-3ubuntu1~18.04,swh:1:dir:1c05dc7c4afc412096a0cf418dfc5acd9e415b57
ubuntu,linux-image-5.3.0-46-generic,5.3.0-46.38~18.04.1,swh:1:dir:52a377f1738da74986c39f67c3d7a305c80cafbe
debian,libjbig2dec0,0.13-4.1,swh:1:dir:861ba274e24c548983a9cb5f35587bd0d7175d0e
debian,mono-runtime-common,4.6.2.7+dfsg-1,swh:1:dir:0337be756fcbe9327bf59c5cd32b97830e537183
debian,libobasis6.0-core,6.0.5.2-2,swh:1:dir:be9528c05aeb436cb268fdf6f84eb3ae72fe96af
debian,libselinux1,2.6-3+b3,swh:1:dir:82e9ae450b493c1fadac53bd6cbfe0657b71f722
debian,dbus-x11,1.10.28-0+deb9u1,swh:1:dir:6ed4c174f092af7c84da0ba52f119f836d301119
debian,libtsan0,6.3.0-18+deb9u1,swh:1:dir:b10b6bb8450fef0f8f623c9086fc12494b8b9f42
debian,libxcb-randr0-dev,1.12-1,swh:1:dir:745caaf63945d5ca3afe7a3ce3583962afc1f262
ubuntu,libarchive13,3.2.2-3.1ubuntu0.6,swh:1:dir:b730cd212f6a25f3d6579937dc9d18d649fa5129
debian,libvo-aacenc0,0.1.3-1,swh:1:dir:b2a628e878dbc8f38814e894d3810e525290cf9b
debian,linux-image-3.16.0-4-amd64,3.16.39-1+deb8u2,swh:1:dir:42741ff8e3ac14a6df2f21aae1f995d395044b05
debian,man-db,2.7.6.1-2,swh:1:dir:57e48a45ab03c2ef6ac03e33b33d479742c5992a
ubuntu,squashfs-tools,1:4.3-6ubuntu0.18.04.1,swh:1:dir:e5ba4fb6c8b480edab42f32ee72ceab3cc7582b8
ubuntu,libstdc++-7-dev,7.5.0-3ubuntu1~18.04,swh:1:dir:1c05dc7c4afc412096a0cf418dfc5acd9e415b57
debian,libdbusmenu-gtk4,12.10.2-2,swh:1:dir:8f28e748491014e1bfd762693e58f40d9f4e20a0
debian,libxres-dev,2:1.0.7-1+b3,swh:1:dir:c7aa62485e91134790d9b7d5e7778c8e2aef28c3
debian,po-debconf,1.0.20,swh:1:dir:75bb906e06af4e95165db5b161d7e46669c42722
debian,libunwind8,1.1-4.1,swh:1:dir:0e2fcd593ee42cbde2c8a97af262e9219104bb26
debian,ruby2.3,2.3.3-1+deb9u7,swh:1:dir:4ecb6be0624e86cea027735c05dbb4965203d1ce
